date,Sump 01,Sump 02,Sump 03,Sump 03B,Sump 03C,Sump 04,Sump 05
12/07/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
13/07/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
14/07/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
15/07/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
16/07/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
17/07/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
18/07/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
19/07/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
20/07/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
21/07/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
22/07/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
23/07/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
24/07/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
25/07/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
26/07/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
27/07/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
28/07/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
29/07/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
30/07/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
31/07/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
1/08/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
2/08/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
